name,phoneNo,location,occupation,certification,age,gender,type,availability,minimumWage,experience,clientsAttended,doorstepService ,references,liscenced,shoppingliscence
gudiya,8035573705,21,17,1,1,0,0,3,1,1,4,0,0,0,0
ramkiashan,7876645223,10,17,0,3,1,1,0,0,1,3,0,0,0,0
rohit beeryani,9814247332,4,17,1,3,1,0,3,1,1,4,0,1,1,1
priyanka,8210564220,6,17,0,1,0,0,3,1,2,4,0,0,0,0
sansaar singh,9989384223,6,17,1,2,1,1,2,0,1,2,0,0,0,1
manoish,9699405633,4,17,0,3,1,1,1,1,2,4,0,1,0,1
sarju,7829489505,3,17,0,1,1,0,3,0,2,4,0,1,0,1
sunil kumar,7899894158,16,17,0,3,1,1,0,0,0,0,0,1,0,0
nand lal,8134681571,1,17,1,3,1,0,3,0,1,2,0,0,0,1
khadak singh,7681677131,0,17,1,3,1,1,2,1,2,4,0,1,0,0
amit kumar,9867609038,11,17,0,2,1,0,3,1,2,4,0,1,0,1
arati,9761318183,7,17,1,3,0,1,2,0,1,2,0,1,0,1
pooja,9197034543,4,17,1,0,0,1,0,0,0,0,0,0,0,1
anita,7466450882,1,17,0,2,0,0,3,0,0,1,0,1,0,0
radhamohan,7487531834,12,17,1,3,1,0,3,2,2,4,0,0,1,1
sagar,9968863032,8,17,1,3,1,0,3,2,2,4,0,0,0,1
bimlesh,9067963635,6,17,0,0,1,1,0,1,2,3,0,1,0,1
mohd mukeem,7560818994,17,17,1,2,1,1,0,2,2,4,0,1,1,1
neha,9528795506,5,17,1,1,0,0,3,1,2,4,0,0,0,1
rajneesh bairwa,8649511845,30,17,0,2,1,0,3,1,2,4,0,0,0,1
ravi kumar,8364705118,6,17,1,2,1,0,3,0,0,0,0,1,0,0
harender,9168855543,13,17,0,2,1,1,0,0,2,4,0,1,0,0
sanni,7605743574,9,17,1,3,1,1,1,0,0,0,0,0,0,0
kailash singh adhikari,8851382779,40,17,0,3,1,0,3,1,1,4,0,1,0,0
