phoneNo,location,occupation,certification,age,gender,type,availability,minimumWage,experience,clientsAttended,doorstepService ,references,liscenced,shoppingliscence
7029738484,0,1,1,3,1,1,2,0,1,2,0,0,0,1
7386494722,3,1,1,3,1,0,3,0,1,3,0,1,0,0
9671746129,23,1,1,2,1,0,3,0,1,2,0,1,1,1
9685177828,11,1,1,2,1,1,2,1,1,4,0,0,1,0
8786263087,5,1,1,2,1,0,3,2,2,4,0,1,0,1
9774090292,7,1,0,1,1,1,1,0,2,4,0,1,0,0
7575691970,4,1,1,1,1,0,3,2,1,4,0,1,0,1
9827394857,1,1,1,3,1,0,3,2,1,4,0,1,0,0
9799376148,16,1,1,1,1,0,3,0,2,4,0,1,0,1
9006518540,5,1,0,3,1,1,2,1,2,4,0,0,0,0
8794531462,12,1,0,3,1,0,3,0,0,0,0,0,0,1
8605209221,8,1,1,2,1,1,1,0,1,1,0,1,1,0
9451779789,8,1,0,3,1,0,3,2,1,4,0,0,0,0
7040634256,6,1,1,3,1,0,3,0,0,1,0,0,0,1
8299936720,5,1,1,1,1,1,0,1,2,4,0,0,0,1
9325738800,14,1,1,1,1,0,3,1,2,4,0,0,1,1
9447199635,13,1,1,3,1,1,1,2,2,3,0,0,1,0
7852544936,9,1,0,2,1,0,3,1,2,4,0,0,0,0
8330416610,27,1,0,3,1,0,3,0,1,2,0,1,0,1
9821373417,7,1,1,3,1,0,3,1,2,4,0,1,0,0
9562701209,40,1,1,0,1,0,3,0,1,2,0,1,0,0
7258053736,3,1,1,0,1,0,3,2,2,4,0,0,0,0
8298811588,1,1,1,2,1,1,0,0,1,2,0,1,1,1
8878752530,2,1,0,0,1,0,3,0,1,3,0,1,0,1
9070726007,28,1,0,3,1,1,2,0,1,2,0,0,0,1
9990228609,16,1,0,0,1,0,3,2,2,4,0,1,0,1
9193558486,10,1,1,1,1,1,0,2,2,4,0,1,0,0
9429689922,27,1,1,3,1,1,1,0,1,2,0,0,0,1
8990529127,8,1,0,0,1,1,0,0,0,0,0,0,0,0
8098801864,3,1,0,3,1,1,0,0,1,3,0,0,0,0
9990000426,17,1,0,2,1,0,3,0,0,1,0,1,0,0
7594457575,11,1,0,1,1,0,3,0,1,2,0,1,0,0
7588812401,21,1,1,0,1,0,3,2,2,4,0,1,0,0
9546349954,9,1,0,3,1,0,3,2,2,4,0,0,0,0
8632548762,16,1,0,0,1,0,3,0,1,2,0,1,0,1
9899127813,4,1,0,3,1,1,2,1,1,4,0,1,0,0
8210631239,26,1,1,1,1,1,2,1,2,4,0,0,1,1
7226562623,36,1,0,3,1,1,0,1,2,4,0,1,0,1
9412451932,13,1,1,3,1,1,0,2,2,4,0,0,0,0
9128565320,14,1,1,3,1,0,3,2,2,4,0,0,0,1
9111027429,18,1,0,3,1,1,2,0,0,1,0,1,0,1
9093621807,12,1,0,2,1,1,0,1,2,4,0,1,0,1
7641253368,10,1,0,3,1,0,3,1,1,4,0,0,0,1
