phoneNo,location,occupation,certification,age,gender,type,availability,minimumWage,experience,clientsAttended,doorstepService ,references,liscenced,shoppingliscence
9167385316,10,14,1,2,1,0,3,0,1,2,0,1,1,1
7639432215,20,14,0,3,1,0,3,0,1,2,0,0,0,1
9977212707,6,14,0,3,1,1,0,2,2,4,0,0,0,1
8089352155,3,14,1,2,1,1,1,2,1,4,0,0,0,1
9220938437,0,14,0,3,1,0,3,0,1,3,0,0,0,0
8255806306,35,14,1,3,1,0,3,0,1,3,0,0,1,0
9216644362,11,14,0,3,1,1,0,1,2,4,0,1,0,1
9057479223,7,14,0,3,1,0,3,0,1,3,0,0,0,1
9327488332,4,14,1,1,1,0,3,2,2,4,0,0,1,0
9675207524,4,14,1,2,1,1,0,0,1,2,0,1,0,1
9881349893,1,14,1,3,1,0,3,1,2,4,0,1,0,0
7986201561,5,14,0,2,1,1,2,0,1,3,0,1,0,0
9435413680,6,14,1,3,1,1,1,1,1,4,0,0,1,1
9992551443,12,14,0,1,1,0,3,1,2,4,0,1,0,1
7942585904,8,14,1,3,1,1,0,2,2,4,0,1,0,0
9155291880,6,14,1,1,1,1,1,0,1,4,0,1,0,0
7449022625,21,14,1,3,1,0,3,1,2,4,0,1,1,0
8021520281,5,14,0,2,1,1,2,2,2,4,0,0,0,0
9697892159,19,14,0,1,1,1,0,1,2,4,0,1,0,0
9009632766,13,14,0,3,1,1,2,0,1,2,0,0,0,0
7044189040,9,14,1,3,1,0,3,0,1,3,0,1,0,0
7088108220,7,14,0,0,1,0,3,2,2,4,0,0,0,1
9273519882,28,14,1,1,1,1,1,2,2,4,0,0,0,0
7746993940,2,14,0,3,1,0,3,1,2,4,0,0,0,1
9389254928,6,14,1,3,1,1,1,1,1,4,0,0,0,0
9552017806,19,14,1,3,1,1,2,0,0,0,0,1,0,1
7114857048,9,14,0,3,1,1,0,1,1,4,0,0,0,0
7252869273,25,14,0,2,1,0,3,0,1,3,0,1,0,1
7350686242,16,14,1,3,1,1,0,1,2,4,0,0,1,0
8432515771,10,14,1,2,1,1,0,0,1,3,0,0,0,1
9149574149,18,14,1,2,1,0,3,0,2,4,0,1,0,1
8138008948,8,14,0,0,1,1,0,1,2,4,0,0,0,0
9806950926,28,14,0,1,1,1,1,0,1,3,0,1,0,0
8291733348,3,14,1,2,1,1,1,1,2,4,0,1,0,1
7336506820,2,14,0,2,1,1,2,2,2,4,0,1,0,1
9976290207,17,14,1,3,1,0,3,0,1,3,0,1,1,1
7296799457,27,14,1,2,1,1,1,0,1,3,0,1,0,1
7897094409,11,14,1,2,1,1,2,0,2,4,0,1,0,0
7887418186,9,14,0,2,1,0,3,0,1,2,0,0,0,1
8632479318,4,14,0,1,1,0,3,0,1,3,0,0,0,0
8586768996,29,14,1,2,1,1,1,0,0,1,0,1,0,0
9193551420,4,14,1,3,1,0,3,2,1,4,0,0,0,1
9748492143,18,14,1,3,1,1,0,2,1,4,0,0,1,1
7739411380,9,14,0,1,1,0,3,1,2,4,0,1,0,0
7449424507,12,14,0,1,1,1,0,2,2,4,0,0,0,1
