phoneNo,location,occupation,certification,age,gender,type,availability,minimumWage,experience,clientsAttended,doorstepService ,references,liscenced,shoppingliscence
9712710401,6,9,0,3,0,0,3,2,2,4,0,1,0,0
7107122162,27,9,1,1,0,0,3,2,2,4,0,0,0,1
7623159885,3,9,0,3,0,1,2,1,2,4,0,0,0,1
9589410620,0,9,1,3,0,0,3,0,1,4,0,0,0,0
8794226705,22,9,0,3,0,1,0,1,2,4,0,1,0,0
7441744067,11,9,1,3,0,0,3,2,2,4,0,0,1,0
9745342064,7,9,0,3,0,0,3,0,1,3,0,1,0,0
9043269516,4,9,1,3,0,0,3,2,2,3,0,0,0,0
9354152120,28,9,0,3,0,0,3,0,1,3,0,1,0,1
9436646517,1,9,1,0,0,0,3,1,2,4,0,0,0,1
7162598863,23,9,0,0,0,1,2,0,1,2,0,1,0,1
7443234155,12,9,1,3,0,0,3,0,2,4,0,1,1,1
9407729479,8,9,0,1,0,0,3,1,1,4,0,1,0,0
8524288972,6,9,1,1,0,0,3,1,2,4,0,1,0,1
9358521847,29,9,0,0,0,1,0,0,1,2,0,0,0,0
7912385084,5,9,0,0,0,0,3,2,2,4,0,1,0,1
9555007240,43,9,1,3,0,0,3,0,1,2,0,1,0,1
9857858659,6,9,1,3,0,1,2,0,0,1,0,0,0,1
8717936731,13,9,1,3,0,0,3,0,2,4,0,0,1,0
9976537833,9,9,0,1,0,1,1,0,1,2,0,0,0,1
7391362605,7,9,0,0,0,1,2,0,0,1,0,0,0,0
7494998343,18,9,1,1,0,0,3,1,1,4,0,1,0,1
9467107636,21,9,0,0,0,1,2,2,2,4,0,1,0,1
9766981022,2,9,1,3,0,1,0,2,2,4,0,1,0,0
9794289495,10,9,0,3,0,1,2,1,2,3,0,1,0,1
9049645346,20,9,0,0,0,1,0,0,0,0,0,0,0,1
9207255595,28,9,0,0,0,0,3,2,2,4,0,1,0,0
8549383750,16,9,1,3,0,0,3,2,2,4,0,0,1,0
9117050397,17,9,0,3,0,0,3,2,2,4,0,1,0,0
9600939757,10,9,0,3,0,0,3,2,1,4,0,0,0,1
9083823059,36,9,1,3,0,1,1,0,0,1,0,1,1,1
8849353840,8,9,1,2,0,0,3,2,1,4,0,1,0,0
7573155485,12,9,1,2,0,1,0,0,0,1,0,0,0,0
8281823688,3,9,1,3,0,1,0,1,2,4,0,1,0,0
9391461870,33,9,1,2,0,0,3,0,2,4,0,1,0,0
9854594803,21,9,1,3,0,0,3,1,2,4,0,1,0,1
7227771762,6,9,1,1,0,0,3,2,1,4,0,1,1,0
9501545121,17,9,1,3,0,0,3,2,1,4,0,0,1,1
9942874371,4,9,1,3,0,1,1,0,0,1,0,1,1,1
7822104442,11,9,0,2,0,1,1,0,0,1,0,0,0,0
8497147123,9,9,0,0,0,1,1,2,2,4,0,0,0,1
9889636030,32,9,0,3,0,0,3,0,2,3,0,1,0,0
9774799390,4,9,1,3,0,0,3,1,2,4,0,1,0,1
7355343073,33,9,1,3,0,1,1,2,2,4,0,0,0,0
7954089394,40,9,1,2,0,1,0,0,1,3,0,0,1,1
9743077189,18,9,0,3,0,0,3,0,0,0,0,1,0,0
8924900484,12,9,0,1,0,0,3,0,0,1,0,1,0,0
9414117660,10,9,0,1,0,1,0,2,2,4,0,0,0,0
7697166609,6,9,0,3,0,0,3,2,1,4,0,1,0,1
8388500130,19,9,0,3,0,0,3,1,2,4,0,0,0,1
9641231987,6,9,0,2,0,1,1,2,2,4,0,1,0,1
8671704398,13,9,0,0,0,1,2,1,2,4,0,0,0,0
9103285173,36,9,0,3,0,1,1,0,0,1,0,0,0,1
7424665388,11,9,0,3,0,0,3,0,0,1,0,1,0,0
9786985320,12,9,1,2,0,1,2,1,2,4,0,0,0,0
7917050573,7,9,0,1,0,1,1,1,1,4,0,0,0,1
7026692595,42,9,1,2,0,1,0,0,1,2,0,1,0,0
7737845657,20,9,0,2,0,0,3,1,2,4,0,1,0,1
8231379457,23,9,1,2,0,1,1,1,2,4,0,0,1,0
8018877283,15,9,1,3,0,0,3,0,2,4,0,0,1,1
7794728516,16,9,0,0,0,0,3,0,1,2,0,0,0,0
9650500216,19,9,1,2,0,1,1,1,1,4,0,1,0,1
9589682573,12,9,1,3,0,0,3,2,2,4,0,1,0,0
9482667058,8,9,1,2,0,0,3,0,1,3,0,0,0,0
9301501947,21,9,0,3,0,0,3,1,2,4,0,1,0,1
7758868323,21,9,1,2,0,1,1,0,1,3,0,1,1,1
8309954526,17,9,0,3,0,0,3,0,1,2,0,0,0,0
8028018786,13,9,0,3,0,0,3,2,2,4,0,1,0,0
8267230467,9,9,1,3,0,0,3,0,0,0,0,0,0,0
7728080201,23,9,0,3,0,0,3,0,1,3,0,0,0,1
9840664705,18,9,0,0,0,0,3,0,0,1,0,0,0,0
8209124154,16,9,0,1,0,1,2,0,1,2,0,1,0,0
8434968695,10,9,0,3,0,0,3,0,0,1,0,0,0,1
8326594159,24,9,1,0,0,1,1,1,2,4,0,1,1,1
9723437749,21,9,1,3,0,1,0,1,1,4,0,1,0,0
8022383299,19,9,0,3,0,0,3,1,2,4,0,0,0,1
7101603215,17,9,1,0,0,0,3,1,1,4,0,1,0,1
8718791268,41,9,0,3,0,1,2,2,2,4,0,1,0,0
9310096456,19,9,0,0,0,0,3,0,1,3,0,1,0,0
9912942706,11,9,0,1,0,0,3,1,2,4,0,1,0,1
9858481212,10,9,0,3,0,1,1,1,2,4,0,0,0,1
7849983296,22,9,0,3,0,1,0,0,1,1,0,1,0,0
8736474237,20,9,1,2,0,1,2,1,2,4,0,0,0,0
8332714011,18,9,0,3,0,0,3,1,2,4,0,1,0,1
9012303551,12,9,1,1,0,0,3,1,2,4,0,1,0,1
8797943558,17,9,0,0,0,0,3,1,1,4,0,1,0,1
8546185105,21,9,0,3,0,0,3,0,0,1,0,1,0,0
9894928762,15,9,1,3,0,1,1,1,2,4,0,1,1,0
7891813410,21,9,0,3,0,0,3,1,2,4,0,1,0,0
9076871045,19,9,0,3,0,1,0,0,1,2,0,1,0,1
8197591867,15,9,0,3,0,1,1,0,1,3,0,1,0,0
8207814890,13,9,0,3,0,1,0,2,1,4,0,0,0,1
9680776613,43,9,0,2,0,1,1,2,2,4,0,1,0,0
9478369910,14,9,1,3,0,1,1,1,2,4,0,0,1,1
9128048459,23,9,0,3,0,0,3,2,2,4,0,1,0,0
9501573679,36,9,1,3,0,1,2,1,2,4,0,0,0,0
7864087258,20,9,1,0,0,0,3,0,1,3,0,0,0,1
9180260656,11,9,0,3,0,0,3,0,1,3,0,0,0,1
7803462120,23,9,1,2,0,1,2,0,0,1,0,0,0,0
8490656878,16,9,1,3,0,1,0,1,2,4,0,1,0,1
8030237081,18,9,1,0,0,0,3,0,1,3,0,1,0,0
9269418726,25,9,0,1,0,1,2,2,2,4,0,0,0,1
7094803901,24,9,0,1,0,0,3,1,2,4,0,1,0,0
9424318697,21,9,1,3,0,0,3,0,2,4,0,0,0,1
7898720343,36,9,1,3,0,1,2,2,2,4,0,0,1,0
8089348582,17,9,1,1,0,1,0,1,2,3,0,1,0,1
9948588988,4,9,0,1,0,0,3,0,0,0,0,0,0,0
9288769002,33,9,0,0,0,0,3,0,0,1,0,0,0,1
9702301035,2,9,0,3,0,0,3,2,2,4,0,0,0,0
9400153277,26,9,1,0,0,0,3,2,2,4,0,0,1,0
9842196090,22,9,1,1,0,0,3,2,2,4,0,0,0,0
7965231299,23,9,0,3,0,0,3,1,2,4,0,1,0,0
8318276518,18,9,1,2,0,0,3,2,2,3,0,0,0,0
9959374339,19,9,0,3,0,1,0,2,1,4,0,1,0,1
8147012451,26,9,1,1,0,1,2,0,1,3,0,1,1,0
9564425914,27,9,0,2,0,0,3,2,2,4,0,0,0,1
8146183065,15,9,1,1,0,0,3,0,1,1,0,1,0,0
7708953418,24,9,1,2,0,1,2,2,2,4,0,0,0,1
7187713305,20,9,1,3,0,1,0,1,2,4,0,1,1,1
9257317007,19,9,0,0,0,0,3,1,2,4,0,1,0,1
8498921571,28,9,1,2,0,0,3,1,2,4,0,0,1,0
9197935582,14,9,1,2,0,0,3,0,1,2,0,0,0,1
9482314284,22,9,1,3,0,1,1,0,2,4,0,0,0,1
9333768785,34,9,1,3,0,1,2,1,2,4,0,0,0,1
9949033470,20,9,0,3,0,0,3,1,2,4,0,0,0,0
8317439092,8,9,0,0,0,0,3,2,2,4,0,1,0,1
8921223074,29,9,0,3,0,0,3,0,2,4,0,0,0,0
7032743411,25,9,1,3,0,1,1,2,2,4,0,0,0,1
7870539100,15,9,1,1,0,1,2,0,1,3,0,1,0,1
9249631265,21,9,0,2,0,1,1,1,2,4,0,0,0,1
7283269508,23,9,1,2,0,1,0,1,2,4,0,1,1,1
8489775328,1,9,0,3,0,0,3,2,1,4,0,1,0,1
9410100481,30,9,0,3,0,1,2,0,0,0,0,0,0,0
9637845307,32,9,0,3,0,1,1,0,1,3,0,0,0,0
7163158607,10,9,1,1,0,0,3,1,1,4,0,0,0,0
7285483409,26,9,1,3,0,0,3,1,2,4,0,1,0,0
9456293312,14,9,1,3,0,0,3,1,2,4,0,1,0,1
7659133883,17,9,0,3,0,0,3,2,2,4,0,0,0,1
9954384249,23,9,1,2,0,0,3,0,1,3,0,0,0,0
9671275895,18,9,1,3,0,0,3,0,1,3,0,0,0,1
9960530347,31,9,1,0,0,0,3,0,1,3,0,0,1,1
8369955062,27,9,0,2,0,0,3,2,2,4,0,1,0,0
8391189633,25,9,1,0,0,1,2,1,1,4,0,1,0,0
8466944356,24,9,1,3,0,0,3,2,2,4,0,1,0,0
9388141871,15,9,0,1,0,0,3,2,2,4,0,0,0,1
9573192872,37,9,0,1,0,1,0,1,1,4,0,0,0,0
8674881081,32,9,0,1,0,1,2,1,2,4,0,0,0,1
9009804559,2,9,1,3,0,0,3,2,2,4,0,0,0,1
7090664563,28,9,0,2,0,1,2,0,1,2,0,1,0,1
9726603964,26,9,0,3,0,0,3,1,2,4,0,1,0,1
8405833196,35,9,0,0,0,1,0,1,1,4,0,0,0,0
9121603751,22,9,0,2,0,1,2,2,2,4,0,0,0,1
7616920219,40,9,0,1,0,1,0,2,2,4,0,1,0,0
7668367735,33,9,1,1,0,1,2,0,1,3,0,0,0,1
9051975428,31,9,0,3,0,0,3,1,2,4,0,1,0,0
9866537030,33,9,1,2,0,0,3,1,2,4,0,1,1,1
8841740014,42,9,1,2,0,1,0,1,2,4,0,0,1,1
9842756396,29,9,0,3,0,1,0,2,2,4,0,0,0,0
7535769861,27,9,0,3,0,0,3,1,1,4,0,0,0,0
9685978422,15,9,0,0,0,0,3,1,1,4,0,0,0,0
7007055120,29,9,1,1,0,1,0,2,2,4,0,0,0,1
7485796949,34,9,0,0,0,1,0,0,1,3,0,0,0,0
9510944912,30,9,1,1,0,0,3,0,1,3,0,0,0,0
9343521235,28,9,1,3,0,1,2,2,2,4,0,1,0,1
9437018790,32,9,0,3,0,0,3,0,1,2,0,0,0,1
8134049138,14,9,0,0,0,0,3,2,1,4,0,0,0,1
8327881237,36,9,0,2,0,0,3,2,2,4,0,0,0,0
7372240006,31,9,0,3,0,1,2,1,2,4,0,0,0,0
9847122144,12,9,1,2,0,1,0,0,1,2,0,1,1,1
9476729964,29,9,0,2,0,1,0,0,0,0,0,1,0,1
8025803073,24,9,0,3,0,0,3,1,2,4,0,1,0,0
7436803171,25,9,0,3,0,0,3,0,2,4,0,1,0,0
9157790086,42,9,0,3,0,1,1,0,1,1,0,1,0,1
9561126823,2,9,0,1,0,0,3,2,2,4,0,0,0,0
8884843856,35,9,1,3,0,0,3,1,2,4,0,1,1,1
9344297600,32,9,1,1,0,1,0,2,2,4,0,1,0,0
9733957972,30,9,1,0,0,0,3,1,2,4,0,0,0,0
9555951820,29,9,1,1,0,1,2,0,2,4,0,1,0,1
8497227817,13,9,0,3,0,0,3,0,1,3,0,0,0,0
8328768934,26,9,1,0,0,1,2,2,2,4,0,1,0,1
9112304333,31,9,1,3,0,0,3,1,1,4,0,1,1,1
8019961650,19,9,1,1,0,0,3,0,1,2,0,1,0,1
8931333352,1,9,1,3,0,0,3,0,0,0,0,1,0,0
7641767827,4,9,1,2,0,0,3,0,0,1,0,1,0,0
9424772372,37,9,0,3,0,1,1,0,1,2,0,1,0,0
9786209949,33,9,1,3,0,0,3,0,2,4,0,0,0,1
9251680531,31,9,1,3,0,1,0,2,2,4,0,1,0,0
8072699487,27,9,1,0,0,0,3,0,0,1,0,0,0,0
8575821816,3,9,1,0,0,0,3,0,1,3,0,0,0,0
7687624491,10,9,0,1,0,1,1,0,1,2,0,1,0,1
7200898847,38,9,0,3,0,1,2,1,2,4,0,1,0,0
9998717856,34,9,1,3,0,1,1,2,2,4,0,1,0,1
7681569011,32,9,1,2,0,0,3,1,2,4,0,1,0,1
9708065405,28,9,0,2,0,0,3,0,1,3,0,0,0,0
9220364509,21,9,1,1,0,0,3,0,2,4,0,0,0,0
8683103455,8,9,1,2,0,0,3,1,2,4,0,1,0,0
9861503829,17,9,0,3,0,0,3,0,0,1,0,1,0,0
9374327471,39,9,0,3,0,1,2,1,2,4,0,1,0,0
8385179956,17,9,1,3,0,1,1,0,1,2,0,0,0,0
9008224718,17,9,0,1,0,1,2,1,2,4,0,0,0,1
7398471923,36,9,0,3,0,1,2,2,2,4,0,0,0,1
