phoneNo,location,occupation,certification,age,gender,type,availability,minimumWage,experience,clientsAttended,doorstepService ,references,liscenced,shoppingliscence
8386070476,0,2,1,3,1,1,1,1,2,4,1,1,0,0
7922612092,4,2,1,3,1,1,1,0,0,1,1,1,0,1
8451769167,39,2,0,3,1,1,2,0,0,0,1,0,0,0
9493668135,11,2,0,3,1,0,3,0,0,0,1,0,0,1
9402887332,7,2,0,0,1,1,1,0,1,1,1,1,0,1
9844575365,4,2,1,0,1,0,3,2,2,4,1,0,0,0
7507225990,1,2,1,1,1,1,0,2,2,4,1,0,0,0
9105550367,39,2,1,2,1,0,3,1,1,4,1,1,1,0
7231896842,12,2,0,3,1,0,3,0,0,1,1,1,0,1
9136168686,8,2,0,3,1,0,3,2,2,4,1,0,0,1
7112340259,6,2,0,3,1,1,1,0,0,1,1,1,0,1
7810320428,5,2,1,1,1,1,0,0,0,1,1,0,0,1
9229211050,5,2,0,1,1,1,2,2,2,4,1,0,0,0
8270977159,18,2,0,2,1,1,0,1,2,4,1,0,0,1
9342354438,13,2,1,2,1,1,0,0,1,4,1,1,1,1
8042726479,41,2,1,3,1,1,2,0,0,1,1,1,0,0
8756864444,9,2,1,0,1,0,3,0,1,2,1,0,0,0
8711446848,7,2,0,2,1,0,3,0,2,4,1,0,0,1
9181921333,2,2,0,2,1,1,0,2,2,4,1,0,0,0
7687113106,11,2,0,1,1,0,3,1,2,4,1,1,0,0
9019193405,16,2,1,0,1,0,3,2,2,4,1,0,1,0
9948544008,7,2,0,1,1,0,3,2,2,4,1,0,0,1
9300453555,10,2,1,2,1,0,3,1,2,4,1,0,0,1
7346789405,8,2,1,1,1,1,0,2,2,3,1,0,0,0
8201766040,3,2,1,0,1,0,3,1,2,4,1,0,0,1
8447376931,39,2,0,3,1,1,2,0,1,2,1,1,0,0
9346023449,27,2,0,0,1,0,3,2,2,4,1,1,0,0
9943753116,17,2,0,0,1,1,1,0,0,1,1,0,0,0
9767863206,34,2,1,3,1,0,3,1,1,4,1,0,1,0
9093881625,11,2,1,3,1,1,2,1,2,4,1,0,0,0
8796410508,9,2,1,3,1,1,0,1,2,4,1,0,0,0
9524072945,43,2,0,3,1,1,2,0,0,0,1,1,0,0
8891368745,4,2,1,3,1,1,2,0,1,4,1,0,0,1
9250809466,34,2,1,3,1,0,3,1,2,4,1,1,1,1
8603440665,18,2,1,0,1,1,2,0,2,4,1,1,1,0
7732120765,12,2,1,1,1,0,3,0,2,3,1,0,0,1
7846653226,10,2,1,3,1,1,0,2,2,4,1,0,0,1
9805119626,30,2,0,3,1,1,2,1,2,4,1,1,0,1
9203173160,6,2,0,3,1,0,3,1,2,4,1,1,0,1
7667724906,19,2,0,1,1,0,3,1,2,4,1,0,0,0
7992387402,35,2,1,3,1,1,2,2,2,4,1,0,0,0
8786141052,13,2,0,3,1,0,3,2,2,4,1,1,0,0
