phoneNo,location,occupation,certification,age,gender,type,availability,minimumWage,experience,clientsAttended,doorstepService ,references,liscenced,shoppingliscence
8555463759,33,19,0,0,1,1,0,0,1,3,0,1,0,0
9811203406,20,19,0,1,1,0,3,1,2,4,0,0,0,1
9351945623,10,19,1,3,1,1,1,0,0,1,0,1,1,0
9446708650,6,19,0,1,1,0,3,2,2,4,0,1,0,0
8143187080,3,19,0,3,1,0,3,1,2,4,0,1,0,0
9101587195,0,19,0,1,1,1,2,2,1,4,0,1,0,1
9940577850,13,19,0,3,1,1,1,0,1,2,0,0,0,0
9152707599,11,19,0,1,1,0,3,1,2,4,0,1,0,1
7631097888,11,19,0,3,1,0,3,0,1,2,0,0,0,0
7439670271,7,19,1,3,1,0,3,2,2,4,0,1,0,1
9077587509,4,19,1,2,1,1,2,0,1,3,0,1,0,1
9311933015,9,19,1,1,1,0,3,0,0,1,0,1,0,0
7434640911,1,19,1,0,1,0,3,1,2,4,0,0,0,1
9087513248,15,19,1,3,1,1,1,1,2,4,0,0,0,0
8428507837,12,19,0,0,1,1,0,1,2,4,0,1,0,0
7598182593,26,19,1,3,1,0,3,2,2,4,0,0,1,1
7811039369,8,19,1,2,1,0,3,0,0,1,0,0,0,0
8367621986,6,19,1,1,1,0,3,0,0,1,0,0,0,1
7188613679,5,19,1,2,1,1,1,0,1,2,0,0,0,0
9538365870,13,19,0,0,1,0,3,0,0,1,0,0,0,1
9414664197,9,19,0,1,1,0,3,1,1,4,0,0,0,1
9041624204,7,19,1,3,1,1,1,1,2,4,0,0,0,0
8047962059,2,19,1,0,1,1,2,0,0,1,0,0,0,1
9993253966,28,19,1,3,1,1,0,0,2,4,0,1,0,0
9166581158,10,19,0,3,1,0,3,0,1,2,0,1,0,0
8184357358,16,19,1,3,1,0,3,2,2,4,0,1,1,0
8508993878,26,19,0,1,1,1,2,1,2,4,0,1,0,1
7587812077,10,19,1,3,1,0,3,1,2,4,0,1,0,1
7279209683,8,19,1,1,1,0,3,0,0,1,0,1,0,0
7420559135,3,19,1,3,1,1,0,2,2,4,0,1,0,0
8808746809,34,19,1,2,1,0,3,1,1,4,0,0,0,0
8889091786,26,19,0,3,1,0,3,0,1,2,0,1,0,1
9421681744,24,19,1,2,1,1,1,0,1,3,0,0,1,1
9985009600,17,19,1,2,1,1,2,1,1,4,0,1,1,1
9758554561,11,19,0,3,1,0,3,0,1,3,0,0,0,0
9731032217,9,19,1,1,1,0,3,0,1,4,0,0,0,1
9317382860,4,19,1,3,1,1,0,2,1,4,0,1,0,0
9200189199,18,19,0,3,1,0,3,1,2,4,0,1,0,1
9327793229,16,19,1,0,1,0,3,0,2,4,0,0,1,0
7522329863,12,19,1,0,1,1,2,0,1,3,0,0,0,1
7074145005,9,19,1,3,1,0,3,1,2,4,0,0,0,0
7972296612,10,19,0,0,1,1,0,1,2,4,0,0,0,0
9906004691,6,19,1,3,1,1,1,0,0,0,0,0,0,0
7752448481,18,19,1,2,1,0,3,1,1,4,0,1,0,0
9997327169,26,19,1,3,1,0,3,0,1,3,0,1,1,1
9004670799,19,19,1,2,1,0,3,0,1,3,0,1,1,0
9101486721,27,19,0,3,1,0,3,2,2,4,0,1,0,1
7259256770,13,19,1,2,1,1,2,0,1,3,0,1,0,0
